"Day","Account","Campaign","Ad.group","Network","Ad.group.state","Impressions","CTR","Avg..CPC","Clicks","Cost","Avg..session.duration..seconds.","Bounce.rate","Click.Assisted.Conv.","Click.conversion.rate","Conversions","View.through.conv.","Search.Impr..share","Avg..position"
2015-03-11,"Asian haus","Asian Haus","Generic-Menu-Based-Exact","Search Network","paused",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",4
2015-03-14,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",65,"21.54%",10.098571,14,141.38,0,"0.00%",0,"14.29%",2,0,"100.00%",1
2015-02-17,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",10,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"62.50%",1.6
2015-02-18,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",8,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"47.06%",2
2015-02-19,"Asian haus","Asian Haus","Generic-Menu-Based-Exact","Search Network","paused",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"66.67%",2.5
2015-02-13,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",54,"3.70%",24.57,2,49.14,0,"0.00%",0,"0.00%",0,0,"58.70%",1.3
2015-03-17,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",18,"33.33%",63.201667,6,379.21,0,"0.00%",0,"0.00%",0,0,"100.00%",1.1
2015-03-10,"Asian haus","Asian Haus","Generic-Menu-Based-Exact","Search Network","paused",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"66.67%",3
2015-03-31,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",12,"41.67%",33.52,5,167.6,0,"0.00%",0,"0.00%",0,0,"100.00%",1.3
2015-02-22,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",13,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1.2
2015-03-07,"Asian haus","Asian Haus","Generic-Menu-Based-Exact","Search Network","paused",12,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"80.00%",4.7
